DateTime,luc_qu,luc_af,luc_qd
2017-04-01,12233.81,143800.8,8881.59
2017-04-02,12771.75,146004.91,8881.54
2017-04-03,12778.02,147929.42,8871.48
2017-04-04,11348.24,149149,8976.35
2017-04-05,10153.07,149697.11,9075.11
2017-04-06,10582.16,150245.2,9080.2
2017-04-07,12094.13,150921.67,9079.98
2017-04-08,12599.18,151557.78,9070.96
2017-04-09,11042.93,152024.13,9082.05
2017-04-10,9754.37,152831.25,9066.12
2017-04-11,8576.34,153577.83,9238.02
2017-04-12,8101.58,153641.92,9490.51
2017-04-13,8944.35,153748.72,9568.11
2017-04-14,8955.28,153919.61,9583.53
2017-04-15,7985.44,153834.17,9580.34
2017-04-16,7624.15,153129.78,9478.17
2017-04-17,9086.17,153706,9261.01
2017-04-18,10416.25,154580.75,9239.15
2017-04-19,10572.83,155567.27,9267.78
2017-04-20,10680.87,156468.42,9268.62
2017-04-21,10129.79,156854.56,9417.84
2017-04-22,10100.92,157027.11,9523.37
2017-04-23,10484.83,157156.83,9530.58
2017-04-24,11228.28,157523.86,9529.22
2017-04-25,10737.67,157869.28,9528.97
2017-04-26,10664.03,158301.17,9532.23
2017-04-27,10196.04,158690.34,9532.47
2017-04-28,9085.28,158776.83,9522.65
2017-04-29,8789.44,158647.11,9628.74
2017-04-30,8769.24,158171.97,9724.2
2017-05-01,9044.5,156983.86,9950.04
2017-05-02,9434.86,155803.03,10152.2
2017-05-03,10568.43,154538.03,10277.53
2017-05-04,11857.7,153236.58,10446.76
2017-05-05,15234.3,153172.5,10609.62
2017-05-06,21042.09,153300.67,10702.55
2017-05-07,24142.1,153962.33,10732.94
2017-05-08,20685.41,154623.47,10790.56
2017-05-09,19298.18,155288.02,10867.73
2017-05-10,18717.62,155459.86,10919.75
2017-05-11,19131.93,156382.5,10969.14
2017-05-12,20129.9,157264.41,10997.47
2017-05-13,18221.63,158884.41,11015.07
2017-05-14,14945.47,166208.63,11015.38
2017-05-15,12963.36,173045.02,11202.11
2017-05-16,11984.82,176043.06,11502.82
2017-05-17,11025.25,177766.91,11475.55
2017-05-18,9478.11,176518.33,11316.6
2017-05-19,8840.15,174506,11275.44
2017-05-20,8382.7,172483.02,11279.63
2017-05-21,8653.14,170402.19,11276.23
2017-05-22,10219.33,166473.55,11279.41
2017-05-23,12321.46,164623,11289.71
2017-05-24,14862.29,163304.77,11284.84
2017-05-25,15989.64,166938.09,11284.59
2017-05-26,13877.2,170961.19,11283.21
2017-05-27,11943.62,173899,11290.82
2017-05-28,11788.51,176246.75,11274.39
2017-05-29,13224,179223.3,11282.18
2017-05-30,14357.13,183717.28,11290.29
2017-05-31,16652.75,190997.58,11142.56
2017-06-01,17669.56,197884.72,11536.3
2017-06-02,16874.82,204645.69,12124.07
2017-06-03,15623.19,210775.52,12293.76
2017-06-04,14755.26,216416.86,12284.67
2017-06-05,17679.82,223112.44,12285.45
2017-06-06,14473.05,227961.17,12290.65
2017-06-07,15735.84,231520.55,12276.05
2017-06-08,15673.36,236376.98,12282.62
2017-06-09,14282.43,241123.8,12289.55
2017-06-10,12327.66,243434.45,12283.97
2017-06-11,10221.99,242618.44,12208.41
2017-06-12,9334.81,239996.84,11886.7
2017-06-13,9545.54,237962.39,11471.68
2017-06-14,8243.32,235987.84,10670.15
2017-06-15,7626.93,234536.72,9954.73
2017-06-16,8016.56,233451.86,9440.76
2017-06-17,9110.93,232781.14,8946.93
2017-06-18,9323.77,233064.81,8435.09
2017-06-19,10047.01,235104.97,7927.92
2017-06-20,11011.13,239318.48,7442.38
2017-06-21,12004.72,243935.14,7279.33
2017-06-22,10969.53,247133.78,7584.73
2017-06-23,9287.91,249871.67,8104.18
2017-06-24,8281.38,252063.23,8275.05
2017-06-25,7979.39,253752.61,8271.62
2017-06-26,7948.4,254775.63,8277.11
2017-06-27,8346.65,256149.09,7938.04
2017-06-28,7718.08,257367.25,7430.12
2017-06-29,6832.74,257908.72,6941.91
2017-06-30,6117.4,259264.67,6445.64
