date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BENLK,BNRI1,BOGI1,BOII,BR,BRFI1,BSKI1,CCDI1,COZI1,DEDI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GGSI1,GLNI1,GLSI1,HPFI1,IDHI1,ITD36,ITD42,ITD51,ITD71,ITD78,JKPI1,KBOI,LDP,LTAI1,LW,MRKI1,ORRI1,PNFI1,PRAI1,PRLI1,SCR,SKLCK,SLDMS,SLDMT,SRSI1,STNI1,SVT,TCFI1,TL,TR216,TRMI1,TS718,TTSID,VINMT,VNNI1,WAGI1,YFFI1
2016-10-01 00:00:00+00:00,26.726,26.652,,22.969,,18.345,,17.134,,26.375,15.953,22.833,20.796,,,22.355,22.019,,23.42,20.351,28.077,,,,12.678,25.036,22.522,15.716,21.348,,,,28.753,,25.745,,,27.175,22.77,,25.213,,12.029,14.289,11.273,,18.317,9.714,24.692,20.311,,,19.5,,9.115,,21.273,18.581
2016-10-01 01:00:00+00:00,26.059,25.7,,20.625,,17.047,,16.07,,24.728,15.605,20.803,19.092,,,20.976,21.39,,22.171,19.269,26.389,,,,12.128,23.491,21.262,14.157,20.272,,,,27.593,,24.542,,,25.395,21.281,,22.948,,11.156,13.167,10.496,,16.794,9.298,23.187,20.276,,,19.203,,8.618,,19.98,16.707
2016-10-01 02:00:00+00:00,24.713,24.272,,16.878,,15.541,,14.114,,22.125,15.279,17.959,16.214,,,18.376,19.449,,19.555,17.518,23.301,,,,11.228,19.873,18.885,11.218,18.442,,,,25.767,,22.873,,,23.026,19.406,,19.652,,10.015,11.976,9.177,,13.783,8.581,20.793,20.142,,,18.487,,7.914,,18.19,13.584
2016-10-01 03:00:00+00:00,23.253,23.033,,13.749,,14.163,,11.516,,20.441,14.859,15.935,13.894,,,15.414,17.197,,16.428,15.852,20.209,,,,10.359,15.936,16.198,8.767,16.847,,,,24.152,,21.28,,,21.242,17.903,,15.992,,8.93,10.917,7.976,,11.293,7.81,18.412,19.703,,,17.706,,7.176,,16.735,10.874
2016-10-01 04:00:00+00:00,21.986,22.127,,12.14,,13.289,,9.179,,20.499,14.113,15.389,12.799,,,12.756,15.62,,14.205,14.435,17.071,,,,9.664,13.016,13.635,7.782,15.594,,,,23.168,,20.112,,,20.609,16.503,,13.219,,7.951,9.797,6.822,,10.424,7.128,16.481,18.926,,,16.899,,6.109,,15.631,8.626
2016-10-01 05:00:00+00:00,20.69,21.937,,12.539,,12.748,,7.19,,21.931,13.147,15.506,12.471,,,10.629,13.515,,12.918,12.845,14.761,,,,8.573,11.06,11.386,8.001,13.695,,,,22.67,,19.374,,,20.008,15.795,,11.294,,7.088,8.512,5.831,,10.799,6.238,15.272,18.04,,,16.254,,4.607,,14.763,7.355
2016-10-01 06:00:00+00:00,19.388,21.789,,14.02,,12.45,,6.162,,23.161,12.444,15.38,11.224,,,9.037,12.878,,12.26,10.679,13.48,,,,7.186,9.632,9.71,8.041,12.041,,,,22.297,,18.837,,,19.667,15.598,,9.991,,6.709,7.708,5.191,,11.187,5.142,14.317,17.441,,,15.502,,3.923,,13.873,6.975
2016-10-01 07:00:00+00:00,18.341,21.214,,13.612,,12.367,,5.667,,23.766,12.215,15.095,10.035,,,8.067,13.082,,11.969,9.617,13.136,,,,7.34,8.745,8.859,7.511,11.224,,,,22.167,,18.398,,,19.366,15.273,,9.215,,6.807,7.849,5.372,,10.977,5.209,13.725,17.04,,,15.203,,4.479,,13.178,7.125
2016-10-01 08:00:00+00:00,17.867,20.501,,12.745,,12.015,,5.174,,22.949,12.231,15.174,9.333,,,7.766,13.288,,11.854,8.873,12.792,,,,7.628,8.466,9.074,7.141,10.887,,,,21.76,,18.059,,,18.991,15.207,,8.941,,6.973,8.273,5.682,,10.525,5.531,13.85,16.407,,,14.916,,5.008,,12.93,6.828
2016-10-01 09:00:00+00:00,17.82,20.016,,12.185,,11.733,,5.035,,21.521,11.854,14.976,8.943,,,7.862,13.15,,11.479,8.427,12.692,,,,7.523,8.633,9.992,7.086,10.766,,,,21.174,,17.684,,,18.474,15.244,,9.056,,6.83,8.301,5.524,,10.456,5.339,14.256,15.51,,,14.913,,4.865,,12.58,6.42
2016-10-01 10:00:00+00:00,17.687,19.712,,12.175,,11.171,,5.256,,20.291,11.139,14.515,9.082,,,8.139,12.408,,11.35,8.293,12.77,,,,6.803,9.048,11.575,7.474,,,,,20.556,,17.68,,,17.753,14.814,,9.341,,6.249,7.668,5.156,,10.348,4.646,14.587,14.392,,,14.517,,4.013,,12.384,5.923
2016-10-01 11:00:00+00:00,17.344,19.565,,11.786,,10.95,,5.772,,19.03,10.563,13.935,9.465,,,8.243,12.296,,11.276,8.288,12.838,,,,5.753,9.58,13.352,7.759,,,,,19.645,,17.531,,,16.809,13.961,,9.692,,5.49,6.98,4.63,,9.989,3.93,14.854,13.635,,,13.223,,3.381,,11.876,5.868
2016-10-01 12:00:00+00:00,16.697,18.723,,8.21,,9.605,,5.981,,17.196,9.842,12.72,9.589,,,8.223,12.597,,11.202,8.288,13.135,,,,5.486,9.892,12.21,7.605,,,,,18.304,,16.145,,,15.547,12.846,,9.774,,4.741,6.37,3.927,,9.554,3.516,14.364,12.52,,,12.442,,2.894,,11.001,5.995
2016-10-01 13:00:00+00:00,16.231,18.064,,8.57,,9.511,,6.026,,16.86,8.911,12.652,9.47,,,8.937,12.825,,11.199,8.257,13.397,,,,5.614,10.025,11.977,7.259,,,,,18.064,,16.059,,,15.655,12.415,,9.833,,4.68,6.421,3.818,,9.436,3.389,14.361,12.546,,,12.275,,2.696,,10.828,5.803
2016-10-01 14:00:00+00:00,15.909,17.615,,9.287,,9.445,,6.313,,16.638,7.961,12.693,9.337,,,10.255,13.114,,11.373,8.237,13.956,,,,5.899,10.578,11.817,7.014,,,,,17.801,,15.893,,,16.02,11.696,,10.428,,4.687,6.534,3.686,,9.42,3.42,14.367,12.765,,,12.066,,2.722,,10.72,5.78
2016-10-01 15:00:00+00:00,15.991,17.696,,10.41,,9.564,,7.127,,16.977,7.467,13.133,9.467,,,11.899,13.429,,11.996,8.38,14.91,,,,5.99,11.824,12.035,7.045,,,,,17.822,,15.703,,,16.786,11.066,,12.013,,4.916,6.775,3.548,,9.719,3.5,14.494,13.305,,,12.011,,2.777,,11.029,6.229
2016-10-01 16:00:00+00:00,16.68,18.071,,12.096,,9.943,,8.404,,17.93,7.502,14.262,9.992,,,13.467,13.938,,13.295,8.964,16.308,,,,5.959,13.574,12.604,7.85,,,,,18.149,,15.629,,,17.758,10.878,,14.211,,5.386,7.141,3.326,,10.434,3.444,14.853,14.136,,,12.279,,2.783,,11.805,7.322
2016-10-01 17:00:00+00:00,18.179,18.561,,14.045,,10.53,,10.026,,19.16,7.966,15.837,10.973,,,14.66,14.761,,14.908,10.199,17.983,,,,6.121,15.595,13.453,8.882,,,,,18.756,,15.818,,,18.695,11.29,,16.569,,6.033,7.63,3.118,,11.551,3.186,15.423,14.928,,,12.867,,3.465,,12.919,8.987
2016-10-01 18:00:00+00:00,20.008,19.037,,15.898,,11.135,,11.475,,20.203,8.677,17.548,12.55,,,15.475,15.8,,16.444,11.818,19.57,,,,7.088,17.626,14.444,10.09,,,,,19.55,,16.262,,,19.403,12.068,,18.619,,6.757,8.22,3.11,,12.901,3.412,16.15,15.41,,,13.594,,4.424,,14.09,11.067
2016-10-01 19:00:00+00:00,21.13,19.63,,17.459,,11.543,,12.34,,20.961,9.296,19.064,14.532,,,16.121,16.82,,17.783,13.531,20.742,,,,7.239,19.394,15.372,10.853,,,,,20.406,,16.889,,,19.969,12.953,,19.921,,7.434,8.85,3.426,,14.198,3.976,16.948,15.616,,,14.153,,4.729,,15.095,13.199
2016-10-01 20:00:00+00:00,21.724,20.21,,18.576,,11.856,,12.833,,21.433,9.603,20.055,16.315,,,16.718,17.666,,18.858,15.08,21.367,,,,7.432,20.627,15.987,11.421,,,,,21.112,,17.63,,,20.455,13.727,,20.654,,7.983,9.407,4.004,,15.262,4.481,17.653,15.461,,,14.45,,4.561,,15.798,15.024
2016-10-01 21:00:00+00:00,21.852,20.492,,19.192,,12.187,,13.132,,21.672,9.497,20.51,17.554,,,17.149,18.199,,19.612,16.239,21.576,,,,8.489,21.067,16.177,12.186,,,,,21.508,,18.176,,,20.741,14.372,,20.95,,8.331,9.737,4.677,,15.925,5.043,18.097,14.883,,,14.591,,4.803,,16.329,16.317
2016-10-01 22:00:00+00:00,21.592,20.561,,19.268,,12.299,,13.305,,21.644,9.029,20.408,17.904,,,17.166,18.389,,19.822,16.815,21.477,,,,9.714,20.482,15.831,12.844,,,,,21.617,,18.37,,,20.675,14.884,,20.779,,8.358,9.697,5.214,,16.03,5.774,18.175,13.947,,,14.66,,5.658,,16.76,16.867
2016-10-01 23:00:00+00:00,21.103,20.204,,18.71,,12.066,,13.304,,21.172,8.405,19.478,17.443,,,16.532,18.063,,19.193,16.69,20.835,,,,10.091,18.996,14.729,12.871,,,,,21.414,,18.056,,,20.081,14.972,,19.934,,7.883,9.268,5.428,,15.392,6.259,17.757,12.841,,,14.542,,6.043,,16.625,16.496
2016-10-02 00:00:00+00:00,20.23,19.244,,17.284,,11.388,,12.627,,20.034,7.782,17.68,16.191,,,15.044,16.995,,17.322,15.697,19.346,,,,9.173,16.77,13.0,11.808,,,,,20.71,,17.227,,,18.844,14.315,,18.132,,6.834,8.512,5.261,,13.573,6.003,16.62,11.867,,,13.989,,5.519,,15.497,15.116
2016-10-02 01:00:00+00:00,18.816,18.004,,14.894,,10.191,,10.789,,18.153,7.223,15.239,13.804,,,12.544,15.063,,14.627,13.988,16.89,,,,7.44,13.994,10.795,9.409,,,,,19.352,,15.918,,,16.906,12.668,,15.536,,5.41,7.552,4.788,,10.791,5.117,14.88,11.163,,,12.858,,4.04,,13.704,12.755
2016-10-02 02:00:00+00:00,16.911,16.583,,11.916,,8.629,,7.781,,15.69,6.919,12.588,10.322,,,9.448,12.859,,11.606,11.79,13.915,,,,5.904,10.902,8.29,6.32,,,,,17.551,,14.3,,,14.546,10.605,,12.436,,3.94,6.55,4.212,,7.442,3.673,12.693,10.66,,,11.292,,2.78,,11.723,9.563
2016-10-02 03:00:00+00:00,14.922,14.894,,8.795,,6.987,,4.29,,13.041,6.802,10.229,6.815,,,6.268,11.01,,8.702,9.403,10.93,,,,5.14,7.779,5.752,3.183,,,,,15.603,,12.544,,,12.076,8.756,,9.238,,2.702,5.647,3.759,,4.043,2.649,10.242,10.252,,,9.641,,2.114,,9.916,6.481
2016-10-02 04:00:00+00:00,13.383,13.149,,5.929,,5.554,,0.995,,10.678,6.739,8.576,3.932,,,3.482,9.997,,6.204,7.17,8.349,,,,5.04,4.946,3.415,1.3,,,,,13.756,,10.925,,,9.801,7.493,,6.433,,1.848,4.942,3.495,,1.166,2.292,7.842,9.892,,,8.224,,1.737,,8.591,4.041
2016-10-02 05:00:00+00:00,12.232,11.497,,3.439,,4.588,,-1.488,,8.749,6.578,7.585,1.777,,,1.434,9.731,,4.187,5.237,6.403,,,,5.225,2.723,1.468,-0.102,,,,,12.216,,9.503,,,8.025,7.088,,4.482,,1.42,4.48,3.31,,-0.694,2.361,5.744,9.627,,,7.154,,1.497,,7.727,2.13
2016-10-02 06:00:00+00:00,11.176,10.124,,1.405,,3.916,,-2.659,,7.212,6.398,6.829,0.166,,,-0.05,9.876,,2.575,3.663,4.876,,,,5.241,1.015,-0.009,-1.304,,,,,11.013,,8.342,,,6.983,7.137,,3.039,,1.401,4.26,3.011,,-2.052,2.54,4.107,9.548,,,6.337,,1.387,,7.115,0.597
2016-10-02 07:00:00+00:00,10.152,9.014,,-0.091,,3.411,,-3.055,,6.073,6.275,6.206,-1.008,,,-1.143,10.123,,1.356,2.443,3.639,,,,5.303,-0.168,-1.154,-1.942,,,,,10.169,,7.399,,,6.581,7.242,,1.912,,1.694,4.247,2.545,,-3.115,2.705,3.02,9.78,,,5.663,,1.167,,6.573,-0.742
2016-10-02 08:00:00+00:00,9.338,8.208,,-0.968,,2.966,,-3.231,,5.498,6.34,5.688,-1.861,,,-1.873,10.134,,0.609,1.591,2.699,,,,5.148,-0.783,-2.034,-1.647,,,,,9.721,,6.63,,,6.672,7.213,,1.089,,2.128,4.4,2.075,,-3.904,2.726,2.307,10.229,,,5.071,,1.063,,6.088,-2.036
2016-10-02 09:00:00+00:00,8.856,7.832,,-1.215,,2.58,,-3.303,,5.622,6.524,5.48,-2.158,,,-2.212,9.793,,0.411,1.071,2.201,,,,5.021,-0.725,-2.661,0.074,,,,,9.699,,6.002,,,7.12,7.146,,0.751,,2.55,4.659,1.805,,-4.453,2.687,1.844,10.697,,,4.566,,1.127,,5.795,-2.967
2016-10-02 10:00:00+00:00,8.738,7.944,,-0.9,,2.18,,-3.335,,6.247,6.663,5.553,-1.75,,,-2.26,9.101,,0.609,0.844,2.036,,,,4.871,-0.163,-3.035,3.606,,,,,9.886,,5.474,,,7.798,7.117,,0.861,,2.889,4.855,1.823,,-4.896,2.52,1.539,10.898,,,4.261,,1.242,,5.749,-3.507
2016-10-02 11:00:00+00:00,8.844,8.437,,-0.099,,1.747,,-3.16,,7.029,6.825,5.716,-1.027,,,-2.244,8.367,,0.963,0.807,1.992,,,,4.601,0.691,-3.096,2.43,,,,,10.02,,4.97,,,8.559,7.126,,1.346,,3.007,4.849,1.971,,-5.356,2.148,1.334,10.609,,,4.179,,1.222,,5.789,-3.769
2016-10-02 12:00:00+00:00,9.066,9.147,,1.108,,1.359,,-2.738,,7.35,6.944,5.803,-0.722,,,-2.316,7.866,,1.429,0.86,1.868,,,,4.365,1.295,-2.703,-0.372,,,,,9.922,,4.559,,,9.243,7.076,,1.85,,2.688,4.646,1.962,,-5.626,1.824,1.318,10.064,,,4.321,,0.993,,5.881,-3.851
2016-10-02 13:00:00+00:00,9.363,9.644,,2.632,,1.224,,-2.049,,7.224,6.943,5.882,-0.645,,,-2.296,7.634,,2.187,1.015,1.67,,,,3.988,1.914,-1.716,-1.724,,,,,9.637,,4.312,,,10.06,7.007,,2.205,,2.011,4.319,1.609,,-5.422,1.327,1.588,9.632,,,4.676,,0.316,,6.064,-3.598
2016-10-02 14:00:00+00:00,9.645,9.645,,4.377,,1.704,,-0.91,,7.094,6.972,6.181,-0.289,,,-1.68,7.862,,3.453,1.501,1.695,,,,3.444,2.835,-0.147,-0.813,,,,,9.462,,4.306,,,11.092,7.023,,2.857,,1.263,4.059,1.022,,-3.903,0.276,2.258,9.678,,,5.479,,-1.289,,6.419,-2.912
2016-10-02 15:00:00+00:00,9.923,9.544,,6.233,,2.945,,0.799,,7.728,7.361,6.853,0.394,,,0.079,9.114,,5.434,2.395,2.59,,,,2.506,4.281,1.987,1.113,,,,,9.784,,4.821,,,12.361,7.288,,4.187,,0.852,4.031,0.586,,-1.58,-0.841,3.447,10.36,,,6.962,,-1.819,,6.851,-1.815
2016-10-02 16:00:00+00:00,10.304,10.224,,8.083,,4.921,,2.992,,9.488,8.328,8.035,1.591,,,3.139,11.104,,7.976,3.717,4.645,,,,1.837,6.403,4.41,2.18,,,,,10.835,,5.851,,,13.851,8.069,,6.344,,1.062,4.325,0.667,,0.975,-0.721,5.054,11.544,,,9.044,,-1.051,,7.208,-0.463
2016-10-02 17:00:00+00:00,11.187,11.932,,9.796,,7.385,,5.3,,12.175,9.685,9.83,3.485,,,7.077,13.364,,10.849,5.413,7.696,,,,1.53,9.295,6.827,2.735,,,,,12.552,,7.364,,,15.513,9.434,,9.186,,1.885,4.951,1.134,,3.311,-0.174,6.948,12.873,,,11.39,,0.495,,7.775,0.907
2016-10-02 18:00:00+00:00,13.401,14.139,,11.255,,9.914,,7.165,,15.079,10.432,12.011,5.739,,,11.085,15.296,,13.673,7.356,11.188,,,,2.449,12.953,9.061,3.911,,,,,14.622,,9.303,,,17.216,11.094,,12.318,,3.067,5.842,1.599,,5.148,0.407,9.002,13.95,,,12.826,,2.72,,8.891,2.334
2016-10-02 19:00:00+00:00,16.622,16.167,,12.429,,11.809,,8.231,,17.456,10.526,14.332,7.74,,,14.335,16.439,,16.085,9.362,14.47,,,,3.533,16.31,10.935,5.467,,,,,16.62,,11.585,,,18.578,12.716,,15.252,,4.298,6.85,1.954,,6.394,0.995,11.063,14.594,,,13.129,,3.453,,10.623,3.817
2016-10-02 20:00:00+00:00,19.239,17.797,,13.295,,12.454,,8.44,,18.989,9.914,16.55,9.402,,,16.545,17.088,,18.0,11.215,17.061,,,,4.385,18.309,12.418,7.183,,,,,18.163,,13.604,,,19.497,13.985,,17.551,,5.417,7.796,2.473,,7.089,1.581,12.966,14.792,,,12.466,,3.145,,12.915,5.26
2016-10-02 21:00:00+00:00,20.45,19.021,,13.833,,12.434,,8.06,,19.82,9.254,18.415,11.266,,,17.571,17.487,,19.269,12.77,18.731,,,,5.328,19.088,13.487,8.304,,,,,19.271,,15.182,,,19.929,14.909,,18.909,,6.316,8.495,3.37,,7.334,2.346,14.533,14.603,,,11.3,,3.377,,14.94,6.45
