primary_id,id,station_name,latitude,longitude,elevation,state,timezone,source,primary_provider,network,reported_lat,reported_long,utm_x,utm_y,utm_zone,xi,yi
ARAI1,803,ANDERSON RANCH DAM NEAR MOUNTAIN HOME 20NE,43.358311,-115.446897,1182.9,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,43.35861,-115.44583,625939.551,4801811.932,11T,759,1182
ARKI1,804,ARROWROCK DAM AND RESERVOIR NEAR BOISE 14E,43.608851,-115.921405,998.2,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,43.61111,-115.92194,586995.308,4829245.721,11T,369,908
ATAI1,1639,ATLANTA SUMMIT,43.756922,-115.239142,2310.4,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.7569,-115.23907,641757.175,4846379.651,11T,917,737
ATLI1,805,ATLANTA  1N,43.804282,-115.126834,1676.4,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,43.80472,-115.12722,650641.228,4851888.369,11T,1006,682
BASI1,1640,BANNER SUMMIT,44.303462,-115.230118,2133.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,44.30342,-115.23447,640827.015,4907089.65,11T,908,130
BCFI1,2076,BEARSKIN CREEK,44.385556,-115.5505,2175.4,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,44.385556,-115.5505,615457.454,4915718.821,11T,654,43
BENLK,10,Bench Lakes,44.12301,-114.95547,2369.82,ID,America/Boise,mesowest,University of Utah MesoWest Mesonet,UUNET,44.12301,-114.95547,663580.447,4887567.801,11T,1135,325
BNRI1,2385,BANNER SUMMIT,44.303378,-115.234525,2149.0,ID,America/Boise,mesowest,Interagency Remote Automatic Weather Stations,RAWS,44.303333,-115.233333,640917.916,4907081.939,11T,909,130
BOGI1,1647,BOGUS BASIN,43.763873,-116.096856,1943.0,ID,America/Boise,mesowest,Natural Resources Conservation Service,SNOTEL,43.76377,-116.09685,572696.061,4846032.16,11T,226,740
BOII,467,BOISE,43.60028,-116.17667,829.1,ID,America/Boise,mesowest,U.S. Bureau of Reclamation,AGRIMET,43.60028,-116.17667,566451.413,4827807.65,11T,164,922
BR,8118,Bogus Ridge,43.758765,-116.090404,2114.093,ID,America/Boise,mesowest,Dry Creek Experimental Watershed,DCEW,43.758765,-116.090404,573221.016,4845481.963,11T,232,746
BRFI1,806,SOUTH FORK BOISE RIVER NEAR FEATHERVILLE NEAR MOUNTAIN HOME 32NE,43.495565,-115.307586,1286.3,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,43.49583,-115.3075,636839.52,4817269.604,11T,868,1028
BSKI1,807,BIG SMOKEY RANGER STATION NEAR FEATHERVILLE 20E,43.618983,-114.868106,1706.9,ID,America/Boise,mesowest,Hydrometeorological Automated Data System,HADS,43.61944,-114.8675,672062.288,4831815.771,11T,1220,882
