date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BENLK,BNRI1,BOGI1,BOII,BR,BRFI1,BSKI1,CCDI1,COZI1,DEDI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GGSI1,GLNI1,GLSI1,HPFI1,IDHI1,ITD36,ITD42,ITD51,ITD71,ITD78,JKPI1,KBOI,LDP,LTAI1,LW,MRKI1,ORRI1,PNFI1,PRAI1,PRLI1,SCR,SKLCK,SLDMS,SLDMT,SRSI1,STNI1,SVT,TCFI1,TL,TR216,TRMI1,TS718,TTSID,VINMT,VNNI1,WAGI1,YFFI1
2016-10-01 00:00:00+00:00,,,,,,570.16,,644.53,,713.82,531.04,,,,,,639.95,,713.59,621.96,,,,,595.8,,612.64,635.3,568.39,573.38,,,556.82,,566.69,,,529.15,567.07,,,,542.98,578.73,528.57,,715.52,619.49,577.82,501.52,,,609.34,,540.59,,579.08,630.95
2016-10-01 01:00:00+00:00,,,,,,536.67,,649.59,,780.14,536.82,,,,,,675.37,,765.1,641.45,,,,,614.97,,684.47,657.87,603.83,581.17,,,570.47,,558.88,,,599.94,554.74,,,,586.56,608.7,557.18,,692.56,622.06,595.55,515.23,,,604.46,,566.26,,569.82,695.67
2016-10-01 02:00:00+00:00,,,,,,506.93,,688.84,,861.6,559.39,,,,,,739.7,,878.21,680.72,,,,,666.2,,728.37,689.91,649.31,600.67,,,610.41,,556.26,,,697.03,538.88,,,,632.37,652.68,614.0,,673.1,660.95,603.41,556.25,,,595.14,,609.01,,576.78,744.96
2016-10-01 03:00:00+00:00,,,,,,501.37,,726.82,,913.17,608.41,,,,,,848.53,,1014.4,727.76,,,,,705.42,,749.38,711.61,734.85,632.15,,,688.86,,559.72,,,787.31,526.34,,,,672.14,691.68,671.46,,656.51,722.19,600.71,631.84,,,591.95,,652.02,,608.82,746.68
2016-10-01 04:00:00+00:00,,,,,,516.92,,733.37,,938.44,689.85,,,,,,1045.58,,1139.99,796.42,,,,,716.66,,753.02,743.24,894.99,718.14,,,796.29,,572.19,,,919.86,536.45,,,,711.01,747.27,689.7,,675.28,748.84,602.29,739.78,,,594.88,,684.96,,667.76,729.5
2016-10-01 05:00:00+00:00,,,,,,536.61,,689.45,,993.55,781.57,,,,,,1209.5,,1236.01,915.95,,,,,719.48,,745.34,805.46,1097.25,891.36,,,918.59,,582.95,,,1043.34,551.9,,,,798.43,838.56,749.08,,726.27,755.58,606.27,839.28,,,601.79,,733.92,,753.15,725.58
2016-10-01 06:00:00+00:00,,,,,,551.53,,662.31,,1033.05,831.02,,,,,,1206.89,,1272.96,1043.54,,,,,738.53,,741.51,886.35,1187.12,994.68,,,1015.67,,604.86,,,1128.62,587.49,,,,824.17,869.65,785.64,,773.19,766.79,613.88,881.17,,,633.68,,756.43,,868.07,728.6
2016-10-01 07:00:00+00:00,,,,,,571.03,,655.08,,1027.15,832.88,,,,,,1158.43,,1280.18,1075.75,,,,,736.14,,754.23,910.59,1218.51,1023.42,,,1040.41,,655.31,,,1138.49,645.77,,,,810.24,848.75,767.7,,824.35,772.47,645.9,877.98,,,687.12,,763.24,,919.9,739.78
2016-10-01 08:00:00+00:00,,,,,,609.04,,662.63,,1037.81,792.83,,,,,,1121.44,,1260.37,1077.88,,,,,742.56,,800.73,915.0,1220.95,,,,1058.96,,719.84,,,1160.99,726.78,,,,797.64,822.25,742.52,,851.49,781.43,715.19,858.57,,,756.53,,767.18,,933.01,748.4
2016-10-01 09:00:00+00:00,,,,,,659.63,,689.92,,1075.82,768.3,,,,,,1139.4,,1227.34,1069.11,,,,,751.24,,877.27,919.39,1221.14,,,,1074.95,,779.83,,,1166.11,803.81,,,,789.4,821.23,740.94,,876.36,792.26,799.41,858.43,,,807.24,,774.68,,944.34,764.73
2016-10-01 10:00:00+00:00,,,,,,706.32,,745.58,,1113.96,768.12,,,,,,1180.81,,1240.7,1072.68,,,,,768.58,,961.0,936.27,,,,,1094.02,,854.29,,,1174.29,856.71,,,,807.22,857.06,746.99,,913.24,796.66,867.31,860.18,,,837.68,,782.01,,958.99,791.62
2016-10-01 11:00:00+00:00,,,,,,754.08,,839.01,,1178.07,742.16,,,,,,1174.11,,1262.13,1077.52,,,,,777.3,,985.65,955.71,,,,,1125.41,,893.67,,,1211.32,847.82,,,,815.48,867.07,737.88,,952.93,783.92,895.63,825.25,,,859.05,,774.95,,970.96,853.82
2016-10-01 12:00:00+00:00,,,,,,732.81,,912.16,,1213.59,723.9,,,,,,1099.86,,1269.14,1075.38,,,,,762.86,,852.36,935.22,,,,,1114.39,,862.93,,,1229.24,760.13,,,,787.05,820.73,740.64,,968.13,763.87,848.76,791.12,,,848.2,,746.84,,967.21,897.82
2016-10-01 13:00:00+00:00,,,,,,780.77,,932.89,,1292.44,690.89,,,,,,1085.28,,1259.79,1075.08,,,,,732.86,,822.29,932.31,,,,,1105.2,,847.62,,,1307.97,688.85,,,,765.78,806.67,720.3,,957.8,744.96,835.78,791.13,,,831.21,,734.86,,964.46,901.45
2016-10-01 14:00:00+00:00,,,,,,791.4,,930.86,,1292.86,621.87,,,,,,1072.53,,1253.93,1081.82,,,,,699.45,,849.52,929.43,,,,,1012.45,,817.08,,,1362.86,633.01,,,,738.96,782.44,700.75,,949.62,725.29,808.87,712.17,,,801.79,,709.76,,941.98,909.83
2016-10-01 15:00:00+00:00,,,,,,766.38,,900.99,,1167.24,555.32,,,,,,1068.97,,1299.71,1100.37,,,,,697.75,,883.28,934.41,,,,,857.18,,775.02,,,1339.55,591.44,,,,706.51,754.69,683.53,,965.93,709.56,765.33,598.31,,,770.02,,685.8,,918.62,936.81
2016-10-01 16:00:00+00:00,,,,,,703.75,,840.9,,931.6,510.14,,,,,,1063.97,,1339.07,1138.19,,,,,724.45,,845.01,910.48,,,,,688.73,,730.18,,,1129.02,566.4,,,,668.8,730.15,657.86,,968.65,697.89,716.86,518.05,,,743.94,,693.53,,917.07,978.32
2016-10-01 17:00:00+00:00,,,,,,661.79,,778.07,,740.1,489.21,,,,,,1033.57,,1251.5,1174.74,,,,,747.33,,741.31,863.19,,,,,592.27,,690.87,,,786.35,557.58,,,,653.76,710.13,620.55,,871.02,686.41,664.75,492.48,,,718.54,,686.58,,914.29,1008.47
2016-10-01 18:00:00+00:00,,,,,,662.67,,715.41,,653.59,482.73,,,,,,949.12,,1052.76,1134.01,,,,,711.23,,617.25,796.5,,,,,557.91,,651.18,,,588.39,542.87,,,,630.11,689.73,614.61,,754.61,674.56,614.24,486.73,,,680.0,,662.1,,868.46,952.27
2016-10-01 19:00:00+00:00,,,,,,606.82,,669.16,,631.22,470.12,,,,,,804.56,,946.7,997.64,,,,,681.71,,552.94,744.55,,,,,551.62,,601.94,,,538.24,524.97,,,,576.5,659.42,619.09,,634.03,658.51,574.73,471.96,,,631.19,,625.58,,770.01,794.83
2016-10-01 20:00:00+00:00,,,,,,502.89,,639.59,,619.64,442.66,,,,,,673.13,,834.66,788.53,,,,,650.32,,519.81,680.64,,,,,543.89,,557.93,,,541.26,502.31,,,,522.47,605.05,607.23,,557.01,636.51,542.69,445.32,,,578.77,,566.1,,647.53,691.85
2016-10-01 21:00:00+00:00,,,,,,425.05,,577.05,,588.22,413.63,,,,,,582.43,,699.27,609.42,,,,,565.77,,494.24,587.64,,,,,515.91,,519.48,,,526.47,475.68,,,,465.58,534.88,545.68,,499.43,604.93,511.63,412.02,,,525.09,,502.4,,550.39,583.21
2016-10-01 22:00:00+00:00,,,,,,390.37,,490.46,,534.06,391.65,,,,,,533.06,,596.18,509.28,,,,,463.67,,451.58,476.57,,,,,476.14,,484.54,,,484.58,446.21,,,,423.78,462.11,480.32,,446.96,559.13,478.75,389.15,,,471.14,,443.01,,504.23,457.08
2016-10-01 23:00:00+00:00,,,,,,369.75,,413.65,,479.72,366.94,,,,,,500.2,,543.04,458.14,,,,,382.5,,411.47,383.0,,,,,439.75,,451.51,,,435.19,408.37,,,,395.66,405.54,434.5,,397.39,497.4,444.84,365.01,,,420.06,,394.24,,469.49,343.49
