date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BENLK,BNRI1,BOGI1,BOII,BR,BRFI1,BSKI1,CCDI1,COZI1,DEDI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GGSI1,GLNI1,GLSI1,HPFI1,IDHI1,ITD36,ITD42,ITD51,ITD71,ITD78,JKPI1,KBOI,LDP,LTAI1,LW,MRKI1,ORRI1,PNFI1,PRAI1,PRLI1,SCR,SKLCK,SLDMS,SLDMT,SRSI1,STNI1,SVT,TCFI1,TL,TR216,TRMI1,TS718,TTSID,VINMT,VNNI1,WAGI1,YFFI1
2016-10-01 00:00:00+00:00,,,1.34,,,3.148,,,0.94,0.471,,,,,,,4.146,,3.501,3.094,,1.65,,,6.552,,1.522,2.961,3.282,1.525,3.998,1.25,4.452,,0.515,3.001,0.58,4.025,1.064,,,,1.703,,5.278,,2.163,4.129,0.479,2.677,,,,,3.603,1.3,1.815,1.617
2016-10-01 01:00:00+00:00,,,1.03,,,2.873,,,0.67,0.47,,,,,,,4.658,,3.528,3.165,,1.65,,,6.993,,1.431,3.069,3.276,1.181,3.037,0.67,4.503,,0.509,3.219,0.47,3.687,0.897,,,,1.616,,5.212,,2.078,4.611,0.476,2.827,,,,,3.079,1.12,1.634,1.359
2016-10-01 02:00:00+00:00,,,1.03,,,2.449,,,1.38,0.47,,,,,,,5.194,,3.493,3.334,,0.67,,,7.767,,1.219,3.215,3.29,0.771,1.77,0.54,4.84,,0.498,3.654,0.63,3.293,0.68,,,,1.481,,5.425,,2.044,5.544,0.472,3.011,,,,,2.654,0.8,1.342,1.014
2016-10-01 03:00:00+00:00,,,1.08,,,1.933,,,0.94,0.47,,,,,,,5.457,,3.308,3.348,,0.72,,,8.662,,0.958,3.218,3.751,0.65,1.302,0.49,5.602,,0.485,4.269,0.8,3.303,0.53,,,,1.336,,5.932,,2.127,6.721,0.47,3.124,,,,,2.542,0.72,1.102,0.726
2016-10-01 04:00:00+00:00,,,0.8,,,1.462,,,1.79,0.633,,,,,,,5.474,,2.878,3.114,,0.58,,,9.402,,0.723,3.176,4.546,0.854,2.051,0.47,6.402,,0.474,4.84,0.94,3.739,0.47,,,,1.27,,6.654,,2.333,7.873,0.47,3.08,,,,,2.518,0.67,0.998,0.534
2016-10-01 05:00:00+00:00,,,1.03,,,1.124,,,1.92,1.462,,,,,,,5.086,,2.459,2.674,,0.85,,,9.942,,0.587,3.025,5.072,1.338,3.451,0.67,7.094,,0.47,5.142,0.98,4.109,0.47,,,,1.247,,7.022,,2.582,9.099,0.47,2.839,,,,,2.801,0.85,1.025,0.471
2016-10-01 06:00:00+00:00,,,1.25,,,0.875,,,2.23,1.74,,,,,,,4.361,,2.087,2.084,,1.34,,,10.233,,0.505,2.584,5.085,1.801,4.842,0.85,7.269,,0.47,4.961,0.9,4.197,0.503,,,,1.23,,7.012,,2.882,10.238,0.47,2.441,,,,,3.171,1.21,1.092,0.498
2016-10-01 07:00:00+00:00,,,1.12,,,0.747,,,1.83,2.033,,,,,,,3.57,,1.799,1.62,,1.52,,,10.201,,0.503,2.117,4.847,1.944,5.583,0.85,6.537,,0.47,4.25,0.8,3.776,0.589,,,,1.184,,7.09,,3.158,10.993,0.47,1.925,,,,,3.324,1.03,1.165,0.577
2016-10-01 08:00:00+00:00,,,1.16,,,0.784,,,1.3,1.259,,,,,,,3.069,,1.664,1.366,,1.12,,,9.759,,0.559,1.885,4.477,1.854,5.432,0.8,5.357,,0.47,3.295,0.85,2.936,0.688,,,,1.137,,7.27,,3.401,11.081,0.47,1.331,,,,,3.487,1.08,1.255,0.634
2016-10-01 09:00:00+00:00,,,1.12,,,0.932,,,0.47,0.579,,,,,,,2.909,,1.524,1.225,,1.34,,,9.005,,0.602,2.102,4.134,1.697,4.512,0.54,4.123,,0.47,2.385,0.94,2.205,0.707,,,,1.059,,7.361,,3.594,10.24,0.47,0.852,,,,,3.694,0.94,1.283,0.596
