date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BENLK,BNRI1,BOGI1,BOII,BR,BRFI1,BSKI1,CCDI1,COZI1,DEDI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GGSI1,GLNI1,GLSI1,HPFI1,IDHI1,ITD36,ITD42,ITD51,ITD71,ITD78,JKPI1,KBOI,LDP,LTAI1,LW,MRKI1,ORRI1,PNFI1,PRAI1,PRLI1,SCR,SKLCK,SLDMS,SLDMT,SRSI1,STNI1,SVT,TCFI1,TL,TR216,TRMI1,TS718,TTSID,VINMT,VNNI1,WAGI1,YFFI1
2017-04-01 00:00:00+00:00,15.87,16.867,7.018,12.604,6.424,,3.494,,7.119,17.169,4.712,14.877,9.458,12.136,9.348,10.355,11.724,2.694,9.621,10.173,17.517,10.538,4.932,2.674,0.963,14.593,10.734,3.334,9.054,14.613,11.616,,15.814,,13.908,,7.75,14.886,9.959,12.318,16.301,8.914,2.211,3.782,-2.623,9.279,6.135,-2.204,13.185,,,4.341,,0.147,-3.553,0.133,,6.762
2017-04-01 01:00:00+00:00,14.751,15.381,5.733,11.446,5.257,,2.568,,6.257,15.891,3.824,12.97,7.764,9.834,8.53,9.425,11.559,2.003,10.653,9.901,15.826,9.443,3.705,1.865,-0.425,12.903,8.965,3.109,8.782,13.637,10.275,,14.159,,12.658,,6.433,13.722,7.864,11.925,15.563,6.958,1.038,2.355,-2.602,7.47,5.574,-2.636,11.098,,,2.663,,-1.819,-4.275,-0.831,,6.555
2017-04-01 02:00:00+00:00,12.681,14.422,3.251,8.749,3.821,,1.192,,4.963,14.169,3.243,9.147,5.462,6.969,6.202,8.247,9.962,1.509,9.573,8.126,13.75,5.197,2.055,-0.819,-1.198,10.663,6.348,2.974,8.454,12.069,8.781,,13.137,,9.976,,5.537,11.765,6.011,9.841,13.809,4.662,-1.11,0.975,-2.795,6.022,4.192,-3.701,8.419,,,1.047,,-3.114,-5.004,-1.717,,4.993
2017-04-01 03:00:00+00:00,10.667,12.886,2.76,4.542,2.621,,0.158,,2.199,12.212,2.944,7.402,2.853,6.071,4.456,5.633,7.917,1.21,6.841,4.755,11.407,1.885,0.717,-2.144,-2.136,6.734,4.486,1.8,7.089,10.36,7.692,,11.59,,7.531,,5.154,10.033,3.996,6.211,8.017,4.517,-1.905,0.261,-3.054,5.024,0.839,-4.76,6.661,,,-0.147,,-3.978,-5.457,-2.549,,2.765
2017-04-01 04:00:00+00:00,8.588,11.742,2.419,2.218,1.331,,-0.606,,2.078,10.807,2.438,6.558,1.25,5.888,3.547,2.664,7.163,0.914,5.517,3.766,8.909,-0.348,-0.667,-2.525,-2.247,4.181,4.005,0.529,6.164,8.959,6.91,,10.271,,7.461,,4.673,8.651,3.403,4.35,5.572,6.171,-2.226,-0.293,-3.52,4.137,-0.682,-4.888,5.563,,,-1.511,,-4.731,-5.666,-3.413,,0.697
2017-04-01 05:00:00+00:00,7.193,10.898,0.777,0.782,-0.594,,-0.96,,4.73,9.651,2.147,4.906,0.178,3.746,2.42,1.665,6.699,0.239,5.635,2.833,6.832,-1.353,-1.188,-3.538,-2.22,2.449,2.275,-1.384,4.385,9.163,5.957,,9.05,,5.674,,,7.08,3.694,3.354,4.028,6.33,-2.647,-1.025,-3.455,2.549,-2.137,-4.849,5.046,,,-2.899,,-4.887,-5.719,-3.425,,-0.081
2017-04-01 06:00:00+00:00,6.336,9.582,0.208,-0.375,-0.306,,-1.472,,4.324,7.664,2.128,4.222,-1.072,3.622,1.287,-0.02,6.659,0.525,3.656,2.105,5.633,-1.841,-2.2,-4.073,-2.193,0.97,1.082,-3.023,3.181,7.191,4.77,,8.042,,4.464,,,6.171,2.883,3.112,2.803,5.881,-3.622,-1.243,-3.914,2.308,-2.865,-4.986,4.977,,,-3.945,,-4.891,-5.791,-3.433,,-1.183
2017-04-01 07:00:00+00:00,5.357,7.958,-0.445,-1.595,-1.09,,-2.094,,4.436,5.605,2.101,3.435,-2.314,2.558,-0.049,-1.136,6.605,0.541,2.694,0.671,4.986,-2.521,-3.298,-4.278,-2.315,-0.338,-0.288,-4.299,1.747,5.973,4.6,,7.012,,3.855,,,5.176,2.9,2.428,1.657,5.505,-3.861,-1.575,-3.654,2.492,-3.851,-5.421,4.296,,,-4.293,,-5.015,-5.872,-3.786,,-2.615
2017-04-01 08:00:00+00:00,4.683,6.76,-0.506,-2.047,-2.117,,-2.714,,4.161,4.617,2.433,3.143,-2.812,3.168,-1.526,-1.741,6.322,0.754,1.799,-0.084,4.169,-3.276,-4.483,-4.843,-3.277,-0.963,-0.675,-4.663,2.141,5.313,4.234,,6.23,,3.376,,,3.925,3.602,1.876,0.944,5.067,-4.44,-0.824,-3.55,2.031,-4.386,-5.742,2.408,,,-4.695,,-4.899,-5.925,-4.173,,-2.914
2017-04-01 09:00:00+00:00,4.194,5.369,-0.405,-2.389,-2.97,,-3.902,,1.679,3.532,2.065,2.433,-3.343,2.493,-2.114,-2.477,6.894,0.814,1.197,-0.999,2.735,-3.993,-5.393,-4.878,-3.874,-1.431,-1.173,-5.6,1.416,3.584,4.438,,5.736,,3.269,,,3.135,2.459,1.277,0.187,4.539,-4.007,-0.722,-3.601,2.208,-4.548,-5.11,1.605,,,-4.438,,-4.087,-5.465,-4.165,,-3.913
2017-04-01 10:00:00+00:00,3.409,4.43,-0.447,-3.137,-2.881,,-4.721,,-0.248,2.414,1.478,1.941,-4.243,2.017,-2.459,-3.069,5.173,1.291,0.343,-1.232,1.046,-4.617,-6.001,-4.625,-3.952,-1.914,-1.855,-6.829,1.795,2.892,3.799,,4.477,,2.857,,,2.82,2.703,0.728,-0.473,3.966,-4.813,0.096,-3.594,1.687,-5.481,-4.644,0.414,,,-4.522,,-3.349,-4.906,-4.265,,-4.77
2017-04-01 11:00:00+00:00,2.97,3.565,-0.635,-3.301,-3.68,,-5.177,,-0.229,1.778,1.25,1.444,-4.596,3.367,-3.13,-3.704,4.525,0.882,-0.194,-2.169,0.705,-5.096,-6.425,-4.559,-3.671,-2.091,-2.314,-7.063,1.822,2.697,3.167,,3.596,,2.673,,,2.495,2.793,0.394,-0.981,4.4,-4.563,-0.144,-3.507,0.568,-6.175,-4.498,-1.347,,,-4.982,,-3.538,-4.766,-3.685,,-4.18
2017-04-01 12:00:00+00:00,2.533,2.985,0.16,-3.572,-3.985,,-5.45,,0.293,1.556,0.988,1.065,-5.229,2.235,-3.319,-4.289,4.868,0.262,-0.797,-2.749,0.188,-5.248,-6.771,-4.838,-1.949,-2.165,-2.539,-6.953,0.641,2.661,2.941,,3.032,,1.716,,,3.079,2.723,0.279,-1.284,4.382,-4.3,-0.706,-3.643,0.803,-7.194,-4.426,-0.928,,,-5.422,,-3.574,-5.253,-4.142,,-5.448
2017-04-01 13:00:00+00:00,2.125,2.461,0.17,-3.93,-4.418,,-5.392,,0.056,1.181,0.71,0.705,-5.852,1.369,-4.005,-4.799,4.41,0.279,-0.422,-2.922,-0.267,-5.187,-6.649,-4.428,-2.09,-2.231,-2.733,-6.899,-0.533,2.44,2.182,,2.048,,1.118,,,3.396,2.221,0.297,-1.399,3.649,-4.011,-1.55,-3.569,0.791,-7.791,-4.295,-2.03,,,-5.806,,-3.815,-5.041,-3.666,,-6.07
2017-04-01 14:00:00+00:00,1.959,2.658,0.02,-3.706,-3.692,,-5.069,,-0.252,1.134,0.481,0.373,-5.486,3.215,-4.194,-5.237,3.996,2.136,-0.336,-3.253,-0.592,-4.5,-5.86,-3.357,-1.809,-2.175,-2.824,-7.749,0.195,2.465,2.481,,2.029,,1.086,,,2.885,2.143,0.377,-1.455,3.504,-4.095,-1.319,-3.591,0.662,-7.75,-4.116,-1.0,,,-5.47,,-1.905,-4.152,-1.836,,-5.795
2017-04-01 15:00:00+00:00,2.05,4.417,1.335,-2.403,-2.154,,-3.543,,1.136,3.739,0.758,0.986,-3.902,5.045,-2.786,-4.031,5.085,3.446,0.579,-1.471,0.229,-1.3,-3.425,-0.953,-1.427,-0.654,-2.125,-6.389,1.324,2.378,3.725,,3.402,,1.675,,,7.469,3.332,2.311,-0.803,4.676,-2.319,0.91,-3.445,2.53,-6.62,-3.818,2.012,,,-2.017,,2.706,-2.982,0.687,,-5.167
2017-04-01 16:00:00+00:00,2.932,6.284,5.336,2.995,1.495,,-1.362,,6.618,7.828,1.985,3.496,-0.859,7.633,0.807,-0.436,7.001,4.706,1.891,3.161,3.651,6.234,0.826,2.736,1.512,2.972,0.468,-4.306,2.916,4.042,5.627,,6.304,,3.415,,,9.771,8.183,5.943,1.697,5.223,-0.351,2.381,-3.247,7.476,-4.564,-3.413,4.663,,,8.536,,4.943,-1.091,5.56,,-0.039
2017-04-01 17:00:00+00:00,5.535,7.936,6.536,9.245,7.637,,1.127,,8.081,10.563,3.041,5.495,2.174,8.645,5.089,3.604,7.374,5.301,3.841,7.394,7.04,10.256,5.573,6.683,4.618,8.574,4.973,-1.251,4.549,6.366,8.375,,9.016,,6.726,,,10.843,8.038,7.107,5.744,5.49,1.132,3.942,-2.404,8.183,-2.738,-2.319,8.767,,,14.911,,6.746,-1.002,8.512,,5.88
2017-04-01 18:00:00+00:00,8.804,10.068,8.334,10.71,11.146,,3.592,,7.261,12.611,2.898,7.461,6.153,8.699,10.231,7.16,8.207,6.101,4.919,11.368,10.602,12.673,7.375,9.553,8.648,11.048,8.992,3.107,5.483,8.126,8.614,,11.368,,10.326,,,11.925,8.38,8.372,10.157,6.164,3.074,4.021,-0.985,10.014,0.188,-1.426,11.671,,,15.111,,5.13,-0.211,8.477,,9.668
2017-04-01 19:00:00+00:00,13.188,12.149,7.814,11.425,12.16,,7.544,,6.479,13.843,3.303,9.739,11.066,9.914,12.413,10.833,8.43,6.367,6.99,11.74,14.541,15.915,9.34,10.414,10.795,13.798,10.679,4.129,6.547,10.072,9.107,,12.882,,11.805,,,13.007,9.526,10.167,13.33,7.337,4.385,5.05,-1.582,10.263,4.712,-0.618,13.178,,,14.508,,7.075,0.817,9.758,,12.998
