date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BENLK,BNRI1,BOGI1,BOII,BR,BRFI1,BSKI1,CCDI1,COZI1,DEDI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GGSI1,GLNI1,GLSI1,HPFI1,IDHI1,ITD36,ITD42,ITD51,ITD71,ITD78,JKPI1,KBOI,LDP,LTAI1,LW,MRKI1,ORRI1,PNFI1,PRAI1,PRLI1,SCR,SKLCK,SLDMS,SLDMT,SRSI1,STNI1,SVT,TCFI1,TL,TR216,TRMI1,TS718,TTSID,VINMT,VNNI1,WAGI1,YFFI1
2017-04-01 00:00:00+00:00,,,0.77,,,,,,0.88,1.0,0.961,,,,,,1.0,,,1.0,,0.964,,,0.515,,,,,,,,,,0.907,1.0,,1.0,1.0,,,,,,,,0.679,,1.0,1.0,,,,,,0.649,,0.615
2017-04-01 01:00:00+00:00,,,0.771,,,,,,0.88,1.0,0.961,,,,,,1.0,,,1.0,,0.964,,,0.519,,,,,,,,,,0.907,1.0,,1.0,1.0,,,,,,,,0.681,,1.0,1.0,,,,,,0.645,,0.62
2017-04-01 02:00:00+00:00,,,0.775,,,,,,0.88,1.0,0.961,,,,,,1.0,,,1.0,,0.964,,,0.533,,,,,,,,,,0.906,1.0,,1.0,1.0,,,,,,,,0.691,,1.0,1.0,,,,,,0.649,,0.63
2017-04-01 03:00:00+00:00,,,0.783,,,,,,0.88,1.0,0.959,,,,,,1.0,,,1.0,,0.963,,,0.562,,,,,,,,,,0.902,1.0,,1.0,0.996,,,,,,,,0.71,,0.997,1.0,,,,,,0.665,,0.648
2017-04-01 04:00:00+00:00,,,0.795,,,,,,0.879,1.0,0.955,,,,,,1.0,,,1.0,,0.962,,,0.606,,,,,,,,,,0.895,1.0,,1.0,0.989,,,,,,,,0.739,,0.99,1.0,,,,,,0.696,,0.675
2017-04-01 05:00:00+00:00,,,0.811,,,,,,0.877,1.0,0.948,,,,,,1.0,,,1.0,,0.961,,,0.663,,,,,,,,,,0.886,1.0,,1.0,0.979,,,,,,,,0.777,,0.981,1.0,,,,,,0.742,,0.707
2017-04-01 06:00:00+00:00,,,0.83,,,,,,0.875,1.0,0.94,,,,,,1.0,,,1.0,,0.959,,,0.73,,,,,,,,,,0.875,1.0,,1.0,0.966,,,,,,,,0.821,,0.971,1.0,,,,,,0.798,,0.745
2017-04-01 07:00:00+00:00,,,0.85,,,,,,0.873,1.0,0.932,,,,,,1.0,,,1.0,,0.957,,,0.8,,,,,,,,,,0.862,1.0,,1.0,0.953,,,,,,,,0.868,,0.959,1.0,,,,,,0.858,,0.784
2017-04-01 08:00:00+00:00,,,0.869,,,,,,0.871,1.0,0.924,,,,,,1.0,,,1.0,,0.955,,,0.867,,,,,,,,,,0.851,1.0,,1.0,0.94,,,,,,,,0.912,,0.948,1.0,,,,,,0.915,,0.822
2017-04-01 09:00:00+00:00,,,0.885,,,,,,0.87,1.0,0.918,,,,,,1.0,,,1.0,,0.954,,,0.924,,,,,,,,,,0.842,1.0,,1.0,0.93,,,,,,,,0.95,,0.939,1.0,,,,,,0.961,,0.855
2017-04-01 10:00:00+00:00,,,0.897,,,,,,0.869,1.0,0.914,,,,,,1.0,,,1.0,,0.953,,,0.968,,,,,,,,,,0.835,1.0,,1.0,0.923,,,,,,,,0.979,,0.933,1.0,,,,,,0.992,,0.881
2017-04-01 11:00:00+00:00,,,0.905,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,0.997,,,,,,,,,,0.831,1.0,,1.0,0.92,,,,,,,,0.998,,0.93,1.0,,,,,,1.0,,0.899
2017-04-01 12:00:00+00:00,,,0.908,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.918,,,,,,,,1.0,,0.929,1.0,,,,,,1.0,,0.91
2017-04-01 13:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.918,,,,,,,,1.0,,0.929,1.0,,,,,,1.0,,0.914
2017-04-01 14:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.914
2017-04-01 15:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.913
2017-04-01 16:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.912
2017-04-01 17:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.831,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.911
2017-04-01 18:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.831,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.911
2017-04-01 19:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.911
2017-04-01 20:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.911
2017-04-01 21:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.911
2017-04-01 22:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.911
2017-04-01 23:00:00+00:00,,,0.909,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.919,,,,,,,,1.0,,0.93,1.0,,,,,,1.0,,0.911
2017-04-02 00:00:00+00:00,,,0.91,,,,,,0.869,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.918,,,,,,,,1.0,,0.931,1.0,,,,,,1.0,,0.911
2017-04-02 01:00:00+00:00,,,0.909,,,,,,0.87,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.918,,,,,,,,1.0,,0.932,1.0,,,,,,1.0,,0.911
2017-04-02 02:00:00+00:00,,,0.906,,,,,,0.87,1.0,0.912,,,,,,1.0,,,1.0,,0.952,,,1.0,,,,,,,,,,0.83,1.0,,1.0,0.92,,,,,,,,1.0,,0.931,1.0,,,,,,1.0,,0.913
