date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BENLK,BNRI1,BOGI1,BOII,BR,BRFI1,BSKI1,CCDI1,COZI1,DEDI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GGSI1,GLNI1,GLSI1,HPFI1,IDHI1,ITD36,ITD42,ITD51,ITD71,ITD78,JKPI1,KBOI,LDP,LTAI1,LW,MRKI1,ORRI1,PNFI1,PRAI1,PRLI1,SCR,SKLCK,SLDMS,SLDMT,SRSI1,STNI1,SVT,TCFI1,TL,TR216,TRMI1,TS718,TTSID,VINMT,VNNI1,WAGI1,YFFI1
2017-04-01 00:00:00+00:00,,,599.35,,,,,,611.3,722.62,538.72,,,,,,576.61,,689.85,478.91,,,,,515.47,,612.68,498.04,572.46,771.97,745.58,,754.25,,580.81,,521.98,757.83,579.57,,,647.12,469.2,465.45,490.21,,490.56,501.14,553.54,,,720.65,,,454.02,617.04,,506.0
2017-04-01 01:00:00+00:00,,,536.73,,,,,,610.79,699.23,540.32,,,,,,582.34,,722.7,490.72,,,,,486.01,,618.39,484.86,560.04,794.87,733.91,,709.81,,582.1,,535.56,744.61,550.17,,,658.91,461.66,453.16,491.85,,508.57,480.52,573.78,,,693.5,,,427.06,570.2,,512.18
2017-04-01 02:00:00+00:00,,,472.0,,,,,,615.12,695.94,506.31,,,,,,579.93,,709.58,485.51,,,,,473.08,,628.13,495.6,584.44,760.61,707.7,,707.85,,582.53,,541.7,752.12,539.24,,,638.51,435.07,443.28,483.37,,510.21,439.71,585.98,,,649.91,,,401.23,529.71,,520.5
2017-04-01 03:00:00+00:00,,,483.08,,,,,,521.47,702.9,482.46,,,,,,568.94,,648.11,449.85,,,,,435.29,,617.8,485.38,611.81,713.78,684.13,,706.31,,576.84,,541.16,789.83,525.51,,,610.82,424.44,426.32,460.24,,496.11,403.98,581.28,,,603.25,,,385.3,494.08,,531.98
2017-04-01 04:00:00+00:00,,,481.66,,,,,,519.75,707.27,471.93,,,,,,571.24,,623.32,450.38,,,,,419.96,,612.5,483.41,613.53,688.77,667.63,,707.86,,582.66,,526.5,796.23,525.44,,,555.47,408.77,404.14,408.59,,482.61,400.24,577.24,,,534.63,,,377.65,459.39,,517.39
2017-04-01 05:00:00+00:00,,,440.34,,,,,,588.77,698.26,466.05,,,,,,549.82,,625.14,461.42,,,,,406.93,,589.62,466.59,572.47,697.9,654.67,,702.32,,569.89,,,768.88,515.77,,,522.74,389.82,387.11,392.71,,449.14,401.75,565.98,,,469.25,,,375.38,458.91,,517.99
2017-04-01 06:00:00+00:00,,,446.8,,,,,,522.04,696.17,458.28,,,,,,534.84,,597.45,460.23,,,,,402.38,,581.26,437.24,546.25,675.55,645.34,,694.82,,566.41,,,773.53,512.32,,,515.66,364.92,378.11,414.29,,435.52,396.64,562.88,,,423.2,,,373.16,458.58,,493.47
2017-04-01 07:00:00+00:00,,,436.58,,,,,,506.7,705.7,445.73,,,,,,497.23,,631.82,460.01,,,,,407.9,,556.31,400.35,509.73,675.47,637.0,,663.48,,562.46,,,760.55,501.52,,,515.41,352.95,365.54,411.67,,414.65,381.27,567.9,,,409.02,,,370.35,445.08,,449.56
2017-04-01 08:00:00+00:00,,,437.84,,,,,,503.87,727.71,434.26,,,,,,468.18,,626.33,459.13,,,,,398.69,,549.27,389.78,515.52,679.72,621.19,,654.83,,570.1,,,729.71,505.04,,,506.83,331.12,371.47,395.52,,402.03,370.32,546.07,,,395.36,,,368.22,430.7,,438.34
2017-04-01 09:00:00+00:00,,,439.65,,,,,,470.29,718.25,440.77,,,,,,493.99,,614.44,445.85,,,,,380.1,,533.3,368.76,495.86,650.0,612.52,,660.67,,575.72,,,717.02,486.73,,,500.78,347.72,372.53,404.09,,396.24,392.07,555.32,,,404.32,,,384.96,431.0,,405.53
