date_time,ARAI1,ARKI1,ATAI1,ATLI1,BASI1,BCFI1,BENLK,BNRI1,BOGI1,BOII,BR,BRFI1,BSKI1,CCDI1,COZI1,DEDI1,DEHI1,DHDI1,FAFI,FLEI1,GAVI1,GGSI1,GLNI1,GLSI1,HPFI1,IDHI1,ITD36,ITD42,ITD51,ITD71,ITD78,JKPI1,KBOI,LDP,LTAI1,LW,MRKI1,ORRI1,PNFI1,PRAI1,PRLI1,SCR,SKLCK,SLDMS,SLDMT,SRSI1,STNI1,SVT,TCFI1,TL,TR216,TRMI1,TS718,TTSID,VINMT,VNNI1,WAGI1,YFFI1
2017-04-01 00:00:00+00:00,,,,,,2.105,,,,,,,,,,,,,,,,,,,,,3.022,2.666,3.052,5.275,6.321,,10.958,,,,,9.424,,,,,1.237,,7.541,,,4.855,,2.366,,,,,6.462,,1.826,
2017-04-01 01:00:00+00:00,,,,,,1.755,,,,,,,,,,,,,,,,,,,,,2.918,3.338,4.029,5.451,6.803,,10.442,,,,,8.782,,,,,0.909,,6.937,,,4.867,,2.482,,,,,7.409,,1.781,
2017-04-01 02:00:00+00:00,,,,,,1.032,,,,,,,,,,,,,,,,,,,,,1.446,1.871,4.035,3.855,6.738,,8.418,,,,,7.278,,,,,0.92,,5.922,,,5.103,,2.178,,,,,7.717,,1.793,
2017-04-01 03:00:00+00:00,,,,,,1.165,,,,,,,,,,,,,,,,,,,,,1.077,1.475,4.217,2.372,5.793,,6.166,,,,,6.625,,,,,2.274,,4.684,,,6.3,,2.502,,,,,7.466,,1.737,
2017-04-01 04:00:00+00:00,,,,,,0.756,,,,,,,,,,,,,,,,,,,,,1.426,1.804,3.004,2.884,3.427,,6.406,,,,,5.987,,,,,2.562,,2.178,,,5.851,,3.712,,,,,7.408,,1.43,
2017-04-01 05:00:00+00:00,,,,,,1.912,,,,,,,,,,,,,,,,,,,,,1.262,1.952,1.931,1.821,2.789,,5.462,,,,,5.227,,,,,2.29,,1.271,,,4.439,,3.691,,,,,7.126,,1.738,
2017-04-01 06:00:00+00:00,,,,,,1.051,,,,,,,,,,,,,,,,,,,,,1.015,1.911,1.95,1.953,3.086,,4.384,,,,,4.278,,,,,2.118,,3.072,,,2.816,,2.83,,,,,6.789,,1.734,
2017-04-01 07:00:00+00:00,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,0.585,1.949,1.423,1.63,3.673,,3.035,,,,,3.92,,,,,2.104,,4.475,,,1.116,,1.804,,,,,6.176,,1.538,
2017-04-01 08:00:00+00:00,,,,,,1.295,,,,,,,,,,,,,,,,,,,,,0.47,1.978,2.724,0.813,3.147,,2.748,,,,,3.378,,,,,1.156,,5.324,,,1.338,,0.978,,,,,4.09,,2.393,
2017-04-01 09:00:00+00:00,,,,,,1.296,,,,,,,,,,,,,,,,,,,,,0.47,1.566,1.804,0.867,2.677,,0.755,,,,,3.067,,,,,0.51,,5.169,,,2.827,,0.905,,,,,2.512,,1.58,
2017-04-01 10:00:00+00:00,,,,,,0.989,,,,,,,,,,,,,,,,,,,,,0.47,1.477,1.58,0.883,2.009,,1.075,,,,,2.837,,,,,0.48,,5.478,,,3.581,,2.184,,,,,3.447,,2.125,
2017-04-01 11:00:00+00:00,,,,,,1.294,,,,,,,,,,,,,,,,,,,,,0.47,1.712,1.551,1.617,2.355,,2.029,,,,,3.003,,,,,0.576,,5.539,,,4.502,,1.906,,,,,4.738,,2.249,
2017-04-01 12:00:00+00:00,,,,,,1.355,,,,,,,,,,,,,,,,,,,,,0.47,1.537,1.618,2.15,1.73,,1.883,,,,,3.33,,,,,0.504,,5.284,,,5.137,,1.38,,,,,4.283,,2.261,
