primary_id,utm_x,utm_y,elevation,xi,yi
RC-076,520367.0,4783418.0,1207.0,184,247
RC.TG.RME-176,519693.0,4767923.0,2097.0,171,557
RC.USC-J10,522641.0,4773999.0,1894.0,230,436
RC.LSC-127,521742.0,4776189.0,1652.0,212,392
RC-128,523498.0,4774772.0,2025.0,247,420
RC.TG.RME-RMSP,520055.0,4768117.0,2061.0,178,553
RC.TG-167,521596.0,4769779.0,2003.0,209,520
RC.TG.DC-163,514134.0,4769430.0,2170.0,60,527
RC.SC-012,514030.0,4793587.0,1575.0,57,44
RC.SC-031,512258.0,4790259.0,1794.0,22,111
RC.TG-174,516815.0,4768026.0,2073.0,113,555
RC.TG.DC-144,515945.0,4771988.0,1815.0,96,476
RC.TG-145,518473.0,4772498.0,1591.0,146,466
RC.TG.DC.JD-124,516399.0,4774981.0,1812.0,105,416
RC.TG.DC.JD-125,518266.0,4774328.0,1508.0,142,429
RC-095B,517067.0,4780469.0,1533.0,118,306
RC.USC-L21,522878.0,4773746.0,1999.0,234,441
RC.TG.RME-166B,520136.0,4768370.0,2067.0,180,548
RC.TG-167B,521034.0,4769898.0,1931.0,198,518
RC.TG.DC.JD-124B,516622.0,4774905.0,1778.0,109,418
RC.NG-098,523455.0,4779774.0,1412.0,246,320
RC.USC-D03,522593.0,4774215.0,1869.0,229,431
RC.FL-057,521311.5,4786233.0,1184.0,203,191
RC.NG-098C,523273.90625,4779600.0,1414.0,242,324
RC.SUM-049,523778.5,4788296.0,1282.0,252,150
RC.TG-116C,518925.0,4776547.0,1460.0,155,385
RC.TG-155,518347.40625,4771516.5,1654.0,144,485
RC.USC-138044,522830.1875,4774083.0,1956.0,233,434
