date_time,CEVC1,CNFC1,DDMC1,ERYC1,GNLC1,HHWC1,HRSC1,KIBC1,KO57,LELC1,LVTC1,MLHC1,PDSC1,PNCC1,RELC1,SLI,TGCC1,TUMC1,VGAC1,WWRC1,YYVC1
2015-10-01 00:00:00+00:00,20.412,15.101,13.249,13.487,12.102,23.003,12.082,14.16,22.748,12.031,18.527,15.466,13.133,17.846,13.224,12.114,21.963,13.893,14.156,13.607,21.466
2015-10-01 01:00:00+00:00,18.717,13.828,12.393,12.594,11.311,21.203,12.149,13.758,,11.15,17.366,14.188,12.761,16.829,12.778,10.728,21.119,12.822,12.917,,20.891
2015-10-01 02:00:00+00:00,17.805,13.905,11.405,11.608,11.084,20.247,11.457,13.509,18.528,10.314,16.538,13.261,12.409,15.796,12.096,9.32,20.48,11.777,11.94,12.727,20.156
2015-10-01 03:00:00+00:00,17.083,14.825,10.536,10.581,11.261,19.496,10.44,14.223,17.613,9.3,15.298,12.344,12.515,14.917,11.4,7.229,19.715,10.646,11.144,11.36,19.291
2015-10-01 04:00:00+00:00,16.819,15.63,9.863,9.687,11.724,19.181,9.96,15.24,16.599,9.01,14.063,11.424,12.037,14.306,11.159,5.716,19.294,9.106,10.521,10.789,18.575
2015-10-01 05:00:00+00:00,16.736,15.712,9.505,9.063,12.051,18.934,9.998,15.235,15.988,9.155,12.654,10.609,11.568,13.971,11.272,4.916,19.445,7.756,10.211,10.199,18.307
2015-10-01 06:00:00+00:00,16.635,14.328,9.854,8.839,11.709,18.366,10.607,14.624,15.097,9.431,11.159,10.244,10.963,13.876,11.538,4.64,19.603,7.201,9.748,9.42,18.295
2015-10-01 07:00:00+00:00,16.276,12.667,10.064,8.805,10.51,17.718,10.724,13.364,13.291,9.432,10.56,10.291,10.282,13.556,11.437,4.859,19.552,6.97,10.02,8.998,18.121
2015-10-01 08:00:00+00:00,15.744,12.143,9.586,8.86,9.299,17.246,10.294,12.169,11.762,9.084,11.31,10.353,9.878,13.266,10.709,5.146,19.236,6.626,10.415,8.419,18.006
2015-10-01 09:00:00+00:00,15.375,12.174,8.867,8.899,9.026,16.914,8.938,11.752,11.143,8.446,13.177,10.046,9.542,13.077,9.556,5.355,18.576,6.231,10.5,8.055,17.48
2015-10-01 10:00:00+00:00,15.138,12.332,8.061,8.876,8.701,16.595,7.915,11.825,10.557,8.007,13.7,9.44,9.309,12.856,8.973,5.044,18.035,5.936,10.236,8.097,16.731
2015-10-01 11:00:00+00:00,14.882,12.284,7.376,8.729,8.168,16.489,7.269,11.935,10.867,7.959,13.277,8.942,9.01,12.554,8.625,4.178,17.812,5.654,9.368,8.188,15.994
2015-10-01 12:00:00+00:00,14.522,11.483,6.46,8.395,7.658,16.347,6.771,11.624,11.841,8.076,12.311,8.573,8.73,12.108,8.007,3.75,17.567,5.646,8.399,8.442,15.656
2015-10-01 13:00:00+00:00,14.031,10.376,5.772,8.133,6.629,15.992,6.099,11.014,11.53,7.811,10.86,9.084,8.316,11.383,7.142,4.178,17.353,5.99,7.878,8.158,15.784
2015-10-01 14:00:00+00:00,13.748,9.797,5.071,8.068,5.894,15.787,5.829,10.323,10.336,6.659,9.966,9.579,7.932,10.63,6.689,5.04,17.658,6.598,7.775,7.541,16.522
2015-10-01 15:00:00+00:00,13.445,9.822,4.795,8.329,5.229,15.798,5.456,9.964,9.624,5.277,10.354,9.509,7.765,10.426,6.37,5.339,17.712,6.523,8.082,7.143,17.0
2015-10-01 16:00:00+00:00,13.02,9.811,4.121,7.348,4.843,16.068,5.038,9.701,10.758,4.2,10.212,9.084,7.698,10.257,5.864,5.119,17.652,6.068,8.239,6.875,17.194
2015-10-01 17:00:00+00:00,12.433,9.481,3.753,4.67,4.483,16.48,4.839,9.375,11.869,3.613,9.425,7.939,7.641,9.791,5.451,3.746,17.552,4.711,7.52,6.803,16.986
2015-10-01 18:00:00+00:00,11.808,8.929,3.932,2.912,4.211,16.57,5.046,8.298,11.588,3.708,9.651,7.863,7.668,9.325,4.804,2.577,17.255,4.24,6.726,6.582,16.599
2015-10-01 19:00:00+00:00,11.385,8.162,4.051,3.14,3.992,15.916,5.043,7.037,10.833,3.861,10.297,9.505,7.012,8.939,3.814,3.257,16.585,5.897,7.055,6.703,16.463
2015-10-01 20:00:00+00:00,10.86,7.11,3.419,3.946,3.147,14.374,4.123,6.216,11.367,3.437,9.861,9.416,5.125,8.578,2.769,3.382,14.838,6.87,7.248,5.606,15.744
2015-10-01 21:00:00+00:00,10.65,7.151,2.12,3.211,1.885,12.739,2.614,6.471,11.296,2.278,7.849,7.241,2.995,8.202,1.956,1.809,12.984,4.772,6.154,3.885,13.744
2015-10-01 22:00:00+00:00,11.663,8.768,1.184,2.04,1.901,12.809,1.48,8.213,10.011,1.55,6.252,6.777,2.482,7.971,1.665,0.636,12.214,3.484,4.692,4.258,13.286
2015-10-01 23:00:00+00:00,13.491,10.347,0.736,1.775,3.32,13.973,1.688,10.017,10.329,1.473,6.555,7.668,3.915,8.466,2.179,0.562,12.746,3.988,3.918,6.101,14.405
2015-10-02 00:00:00+00:00,13.258,10.516,0.906,1.912,4.673,14.85,2.359,10.456,11.058,1.776,6.926,7.914,4.894,9.336,2.681,1.002,13.478,4.734,3.272,6.923,15.274
2015-10-02 01:00:00+00:00,11.904,9.439,1.467,1.738,4.508,14.501,2.572,9.206,10.358,2.052,6.421,7.536,5.188,9.46,2.44,1.356,13.519,3.963,2.798,6.475,14.699
2015-10-02 02:00:00+00:00,10.585,8.481,1.497,1.158,3.156,13.144,2.252,7.264,8.3,2.14,5.049,6.569,4.781,8.908,2.023,1.24,13.069,2.677,2.432,5.103,13.448
2015-10-02 03:00:00+00:00,9.835,7.913,1.585,1.042,1.95,11.738,1.738,6.109,6.262,1.971,3.974,5.719,4.394,8.338,1.555,0.895,12.635,1.732,1.951,3.55,12.328
2015-10-02 04:00:00+00:00,9.478,7.708,1.545,1.066,1.473,10.795,1.312,6.029,5.042,1.789,3.664,5.193,4.063,7.921,1.55,0.3,12.205,1.065,1.83,2.357,11.637
2015-10-02 05:00:00+00:00,9.331,7.573,1.366,1.039,1.749,10.336,1.121,6.215,4.931,1.689,3.839,4.765,3.914,7.743,1.631,-0.125,11.85,0.497,1.64,1.625,11.46
2015-10-02 06:00:00+00:00,9.266,7.362,1.035,0.855,2.081,10.064,0.909,6.022,4.157,1.579,3.89,4.145,3.715,7.626,1.652,-0.56,11.593,-0.063,1.296,1.182,11.387
2015-10-02 07:00:00+00:00,9.082,7.348,0.538,0.544,1.623,9.628,0.403,5.719,3.116,1.385,3.534,3.339,3.182,7.342,1.538,-0.931,11.209,-0.569,0.881,0.947,10.866
2015-10-02 08:00:00+00:00,8.795,7.524,0.015,0.143,0.94,9.207,-0.266,5.57,1.915,1.063,3.316,2.488,2.368,6.679,1.243,-1.156,10.826,-0.987,0.886,0.702,10.192
2015-10-02 09:00:00+00:00,8.544,7.628,-0.397,-0.289,0.698,8.958,-0.648,5.526,0.461,1.014,3.156,1.762,1.616,5.785,0.972,-1.504,10.597,-1.254,1.265,0.559,9.596
2015-10-02 10:00:00+00:00,8.326,7.916,-0.562,-0.688,0.81,8.82,-0.883,5.52,-1.146,1.511,2.746,1.36,0.965,4.978,0.662,-2.154,10.385,-1.548,1.981,0.348,9.494
2015-10-02 11:00:00+00:00,8.103,7.829,-0.339,-0.991,0.906,8.553,-0.936,5.483,-1.702,2.002,2.272,1.08,0.565,4.351,0.52,-2.496,10.112,-1.754,3.028,-0.105,9.45
2015-10-02 12:00:00+00:00,7.824,7.637,0.41,-1.135,1.221,8.145,-0.127,5.427,-1.691,2.113,2.63,0.664,0.861,3.846,0.55,-2.057,9.842,-1.997,3.442,-0.544,9.491
2015-10-02 13:00:00+00:00,7.578,7.511,1.379,-1.296,2.387,7.641,1.867,5.515,-0.178,2.065,2.969,0.354,2.293,3.393,0.837,-0.932,9.542,-2.233,3.643,-0.718,9.082
2015-10-02 14:00:00+00:00,7.759,7.902,2.265,-0.497,3.702,7.218,3.4,6.17,1.168,2.256,3.575,0.559,4.713,3.169,1.496,0.447,9.369,-1.767,3.954,-0.369,8.709
2015-10-02 15:00:00+00:00,8.964,9.786,3.344,1.501,5.239,7.397,4.649,7.893,3.047,2.962,5.191,1.754,6.741,3.644,3.199,2.4,9.885,0.112,4.846,1.069,8.471
2015-10-02 16:00:00+00:00,11.287,11.657,4.796,3.719,7.438,9.354,5.649,9.953,5.838,4.359,8.202,5.026,8.691,5.577,5.86,4.343,11.806,3.197,6.096,3.768,9.658
2015-10-02 17:00:00+00:00,13.408,13.551,6.772,5.175,10.245,14.372,7.138,11.628,9.838,5.713,10.998,9.596,10.741,9.238,8.569,6.451,14.71,7.294,7.221,7.914,12.985
2015-10-02 18:00:00+00:00,15.708,15.524,8.704,6.326,13.16,20.473,8.552,13.408,13.677,6.579,12.561,14.067,12.348,13.704,10.923,7.988,17.17,10.245,8.1,11.705,17.048
2015-10-02 19:00:00+00:00,17.946,17.188,9.824,7.274,15.19,24.099,9.49,15.865,16.331,7.288,13.48,16.423,13.71,17.438,13.164,8.65,19.366,11.963,8.729,14.169,19.46
2015-10-02 20:00:00+00:00,19.936,18.232,9.735,7.692,15.69,25.642,10.234,18.311,17.44,7.811,14.22,17.845,14.762,19.965,14.806,8.83,21.439,12.997,9.34,15.373,20.692
2015-10-02 21:00:00+00:00,21.595,18.419,9.521,8.26,15.872,26.038,10.963,19.454,18.014,8.139,14.69,18.655,15.799,21.25,15.69,9.402,23.034,13.308,9.703,15.931,21.748
2015-10-02 22:00:00+00:00,23.181,17.722,9.675,8.712,15.574,25.564,11.391,19.178,18.204,8.438,15.159,19.165,16.466,21.152,16.035,10.244,23.739,13.536,9.914,15.722,22.809
2015-10-02 23:00:00+00:00,23.656,17.071,9.43,8.921,15.124,24.515,11.529,18.483,18.156,8.389,14.519,18.985,15.924,20.213,14.666,10.204,23.195,13.265,9.44,14.989,23.074
2015-10-03 00:00:00+00:00,21.112,16.4,8.672,8.762,13.709,22.876,10.831,16.683,17.631,7.789,12.952,17.143,14.828,18.816,11.662,8.763,21.859,12.072,8.149,13.658,22.242
2015-10-03 01:00:00+00:00,17.982,14.847,7.311,8.044,11.398,20.791,9.04,13.924,16.101,6.644,10.607,14.229,13.103,16.789,8.876,7.214,20.522,9.671,6.478,11.682,20.261
2015-10-03 02:00:00+00:00,15.57,12.094,5.695,6.832,8.633,18.626,6.455,11.432,13.803,5.577,8.332,11.654,11.01,14.444,7.059,5.995,19.31,6.08,5.126,9.482,18.433
2015-10-03 03:00:00+00:00,13.826,10.361,3.992,5.754,6.401,16.556,4.184,10.36,10.793,4.716,6.558,9.707,9.261,12.245,5.873,5.553,17.924,3.101,4.397,7.455,16.978
2015-10-03 04:00:00+00:00,12.844,9.882,3.201,5.12,5.072,14.792,3.754,10.096,7.544,4.039,5.253,7.948,7.676,10.471,5.309,5.454,16.474,1.492,4.117,5.911,15.913
2015-10-03 05:00:00+00:00,12.191,10.154,2.988,4.853,4.424,13.612,4.975,10.413,4.963,3.691,4.464,6.513,6.435,9.051,4.739,5.268,15.144,1.367,3.874,4.688,14.627
2015-10-03 06:00:00+00:00,11.684,10.898,3.279,4.635,4.082,12.841,5.7,10.877,2.886,3.546,3.733,5.521,5.933,7.816,4.043,4.767,14.471,0.963,3.587,4.016,13.457
2015-10-03 07:00:00+00:00,11.342,11.518,3.577,4.442,3.692,12.16,6.053,11.064,1.237,3.299,3.069,4.916,5.925,6.738,3.624,4.307,14.099,0.226,3.205,3.624,12.092
2015-10-03 08:00:00+00:00,11.307,11.842,3.489,3.857,3.612,11.431,5.878,11.015,0.188,3.154,2.42,4.44,6.524,5.891,3.585,3.594,13.733,-0.602,2.731,2.986,11.08
2015-10-03 09:00:00+00:00,11.406,12.005,3.251,2.455,3.478,10.772,5.139,10.766,-0.545,3.281,1.817,3.881,7.117,5.278,3.441,2.619,13.168,-1.28,2.54,2.113,10.674
2015-10-03 10:00:00+00:00,11.673,11.802,2.785,0.967,3.484,10.209,4.27,10.551,-1.598,3.341,1.253,3.525,7.384,4.741,3.316,1.965,12.566,-1.483,2.328,1.701,10.638
2015-10-03 11:00:00+00:00,11.517,11.466,2.174,-0.345,3.529,9.773,3.432,10.193,-2.496,3.238,0.69,3.124,7.203,4.214,3.112,1.421,12.065,-1.668,2.154,1.565,10.503
2015-10-03 12:00:00+00:00,10.838,10.969,1.491,-1.212,3.209,9.296,3.131,9.543,-3.543,2.992,0.183,2.12,6.12,3.66,2.758,0.184,11.608,-2.663,1.979,1.456,9.921
2015-10-03 13:00:00+00:00,10.168,10.693,0.902,-1.379,2.848,8.724,2.566,9.191,-4.032,2.954,-0.196,1.189,4.823,3.124,2.619,-0.946,11.063,-3.08,2.015,1.333,9.495
2015-10-03 14:00:00+00:00,9.919,11.301,0.925,-0.373,3.009,8.133,1.338,9.518,-4.153,3.895,0.258,1.348,3.979,2.837,3.103,-1.543,10.927,-1.774,2.726,1.585,9.432
