date_time,CNFC1,DAN,SLI,TGCC1,WWRC1
2015-10-01 00:00:00+00:00,0.175,0.506,0.269,0.296,0.428
2015-10-01 01:00:00+00:00,0.179,0.502,0.269,0.3,
2015-10-01 02:00:00+00:00,0.188,0.493,0.268,0.308,
2015-10-01 03:00:00+00:00,0.2,0.481,0.267,0.32,
2015-10-01 04:00:00+00:00,0.215,0.466,0.263,0.334,
2015-10-01 05:00:00+00:00,0.232,0.448,0.257,0.351,
2015-10-01 06:00:00+00:00,0.25,0.428,0.251,0.368,0.454
2015-10-01 07:00:00+00:00,0.268,0.408,0.246,0.385,0.455
2015-10-01 08:00:00+00:00,0.286,0.388,0.242,0.4,0.455
2015-10-01 09:00:00+00:00,0.301,0.369,0.24,0.414,0.456
2015-10-01 10:00:00+00:00,0.313,0.352,0.24,0.424,0.456
2015-10-01 11:00:00+00:00,0.323,0.337,0.24,0.432,0.456
2015-10-01 12:00:00+00:00,0.33,0.325,0.24,0.437,0.456
2015-10-01 13:00:00+00:00,0.334,0.317,0.24,0.438,0.455
2015-10-01 14:00:00+00:00,0.335,0.312,0.24,0.439,0.455
2015-10-01 15:00:00+00:00,0.335,0.309,0.24,0.438,0.454
2015-10-01 16:00:00+00:00,0.334,0.308,0.24,0.436,0.453
2015-10-01 17:00:00+00:00,0.333,0.307,0.239,0.435,0.452
2015-10-01 18:00:00+00:00,0.334,0.307,0.238,0.434,0.452
2015-10-01 19:00:00+00:00,0.336,0.309,0.237,0.436,0.454
2015-10-01 20:00:00+00:00,0.343,0.313,0.238,0.441,0.459
2015-10-01 21:00:00+00:00,0.355,0.321,0.242,0.453,0.468
2015-10-01 22:00:00+00:00,0.373,0.336,0.254,0.472,0.484
2015-10-01 23:00:00+00:00,0.397,0.357,0.275,0.498,0.506
2015-10-02 00:00:00+00:00,0.426,0.384,0.305,0.531,0.533
2015-10-02 01:00:00+00:00,0.461,0.415,0.344,0.57,0.566
2015-10-02 02:00:00+00:00,0.5,0.451,0.39,0.615,0.602
2015-10-02 03:00:00+00:00,0.543,0.49,0.443,0.664,0.642
2015-10-02 04:00:00+00:00,0.589,0.532,0.501,0.716,0.685
2015-10-02 05:00:00+00:00,0.636,0.575,0.561,0.77,0.729
2015-10-02 06:00:00+00:00,0.684,0.618,0.623,0.825,0.774
2015-10-02 07:00:00+00:00,0.731,0.662,0.683,0.879,0.818
2015-10-02 08:00:00+00:00,0.777,0.703,0.741,0.931,0.86
2015-10-02 09:00:00+00:00,0.82,0.742,0.793,0.98,0.9
2015-10-02 10:00:00+00:00,0.859,0.778,0.84,0.999,0.937
2015-10-02 11:00:00+00:00,0.894,0.809,0.879,0.999,0.97
2015-10-02 12:00:00+00:00,0.924,0.836,0.909,0.999,0.997
