date_time,CEVC1,CNFC1,ERYC1,KO57,MLHC1,PNCC1,SLI,TGCC1,WWRC1
2015-10-01 00:00:00+00:00,750.84,739.06,672.35,894.33,855.5,765.65,642.27,815.38,685.27
2015-10-01 01:00:00+00:00,726.03,702.93,666.84,,796.38,726.32,703.31,879.96,
2015-10-01 02:00:00+00:00,714.74,699.1,665.13,970.17,775.28,717.17,770.0,947.7,831.42
2015-10-01 03:00:00+00:00,718.89,705.58,655.89,977.09,780.54,728.25,832.85,1092.42,909.81
2015-10-01 04:00:00+00:00,740.17,699.43,651.62,972.89,792.59,769.38,861.82,1230.51,943.54
2015-10-01 05:00:00+00:00,756.8,684.19,659.58,974.4,793.78,817.1,860.53,1236.49,927.81
2015-10-01 06:00:00+00:00,755.03,678.63,682.76,974.29,791.97,819.23,850.71,1123.59,887.98
2015-10-01 07:00:00+00:00,735.3,663.13,705.99,935.78,799.18,828.53,863.83,964.0,873.88
2015-10-01 08:00:00+00:00,719.51,657.42,715.97,904.23,796.42,827.01,881.3,857.38,908.43
2015-10-01 09:00:00+00:00,722.11,676.24,699.13,892.46,794.52,816.93,894.21,855.88,930.13
2015-10-01 10:00:00+00:00,732.29,697.16,651.74,885.2,816.65,789.47,873.4,885.64,910.92
2015-10-01 11:00:00+00:00,736.53,710.18,588.35,890.75,819.99,754.97,813.68,922.91,840.9
2015-10-01 12:00:00+00:00,729.68,704.42,530.82,903.69,814.02,723.55,774.19,964.45,750.5
2015-10-01 13:00:00+00:00,713.95,669.34,503.84,900.88,777.65,702.59,743.41,968.72,731.45
2015-10-01 14:00:00+00:00,718.95,642.34,509.86,890.67,742.23,713.9,694.76,879.71,749.0
2015-10-01 15:00:00+00:00,763.28,643.68,562.99,890.73,742.79,794.69,681.28,827.3,756.49
2015-10-01 16:00:00+00:00,861.14,686.29,628.54,929.32,762.79,950.14,686.78,827.34,722.35
2015-10-01 17:00:00+00:00,989.1,769.62,639.78,968.84,785.26,1073.97,684.09,847.84,705.94
2015-10-01 18:00:00+00:00,1097.98,866.78,642.2,1001.23,780.37,1111.04,659.65,905.86,749.47
2015-10-01 19:00:00+00:00,1166.32,950.08,675.66,1022.01,776.09,1110.04,677.71,993.2,792.85
2015-10-01 20:00:00+00:00,1171.41,973.77,709.77,1061.1,800.61,1090.57,685.93,1123.5,801.64
2015-10-01 21:00:00+00:00,1154.1,989.51,681.03,1059.62,843.23,1059.06,647.96,1168.99,764.56
2015-10-01 22:00:00+00:00,1187.94,1038.93,640.14,976.6,875.09,1030.9,621.35,1156.49,797.62
2015-10-01 23:00:00+00:00,1268.14,1056.95,633.54,934.23,904.52,1047.4,626.24,1127.92,872.13
2015-10-02 00:00:00+00:00,1214.13,1036.27,639.62,907.77,924.14,1102.16,649.52,1106.13,885.79
2015-10-02 01:00:00+00:00,1127.47,1030.74,635.78,885.21,921.0,1124.19,671.28,1142.71,860.32
2015-10-02 02:00:00+00:00,1070.14,1027.67,613.7,847.95,909.4,1100.37,668.11,1194.83,818.98
2015-10-02 03:00:00+00:00,1052.01,1018.36,602.68,795.24,893.85,1071.39,652.01,1235.04,768.67
2015-10-02 04:00:00+00:00,1050.03,1002.5,592.67,759.2,880.98,1045.85,624.56,1243.27,722.47
2015-10-02 05:00:00+00:00,1051.83,1011.33,585.7,754.57,858.18,1033.64,604.45,1237.46,687.15
2015-10-02 06:00:00+00:00,1053.02,994.28,580.12,726.59,821.7,1024.8,583.13,1231.97,665.63
2015-10-02 07:00:00+00:00,1045.26,950.3,570.38,689.63,776.33,1004.68,565.49,1217.66,654.46
2015-10-02 08:00:00+00:00,1030.08,882.17,550.8,654.99,730.85,960.3,555.03,1195.18,642.99
2015-10-02 09:00:00+00:00,1016.53,785.4,523.53,606.25,693.93,904.59,539.19,1162.26,636.38
2015-10-02 10:00:00+00:00,1004.54,709.13,503.46,547.27,674.0,858.75,510.72,1116.86,626.73
2015-10-02 11:00:00+00:00,990.81,661.06,498.65,522.17,660.76,824.05,496.29,1069.53,605.45
2015-10-02 12:00:00+00:00,970.77,637.2,503.79,511.5,641.23,795.74,514.88,1031.07,583.9
2015-10-02 13:00:00+00:00,946.54,639.15,505.54,580.42,627.0,771.51,565.44,999.87,575.56
2015-10-02 14:00:00+00:00,936.44,662.85,531.63,649.89,636.38,764.28,616.07,977.92,592.41
2015-10-02 15:00:00+00:00,965.95,692.79,577.25,722.54,693.53,793.23,656.72,968.85,660.24
2015-10-02 16:00:00+00:00,1025.66,698.49,609.66,818.32,807.43,903.69,676.62,965.23,777.7
2015-10-02 17:00:00+00:00,1025.97,732.12,607.71,941.99,869.8,1083.77,690.38,935.73,884.88
2015-10-02 18:00:00+00:00,1016.1,807.72,602.76,988.34,757.01,1183.27,692.97,886.49,872.13
