date_time,CEVC1,CFL,CNFC1,DAN,DDM,DDMC1,ERY,ERYC1,GIN,GNLC1,HHWC1,HRSC1,KIBC1,KO57,LELC1,LVTC1,MLHC1,PDSC1,PNCC1,RELC1,SLI,TGCC1,TUMC1,VGAC1,WWRC1,YYVC1
2015-10-01 00:00:00+00:00,,0.533,0.578,,1.641,1.454,2.712,,,,,,,2.31,,,,,,,1.735,,,,0.45,
2015-10-01 01:00:00+00:00,,1.442,,,1.62,,2.943,,,,,,,,,,,,,,1.85,,,,,
2015-10-01 02:00:00+00:00,,3.085,,,1.832,,3.039,,,,,,,4.916,,,,,,,2.291,,,,2.335,
2015-10-01 03:00:00+00:00,,4.188,,,2.612,,3.236,,,,,,,5.654,,,,,,,2.17,,,,2.662,
2015-10-01 04:00:00+00:00,,3.566,,,3.62,,2.982,,,,,,,4.737,,,,,,,1.408,,,,1.408,
2015-10-01 05:00:00+00:00,,3.295,,,4.199,,2.401,,,,,,,3.676,,,,,,,0.955,,,,0.551,
2015-10-01 06:00:00+00:00,,2.783,,,3.77,,1.912,,,,,,,2.731,,,,,,,0.732,,,,0.447,
2015-10-01 07:00:00+00:00,,2.008,,,2.693,,1.598,,,,,,,,,,,,,,0.535,,,,0.447,
2015-10-01 08:00:00+00:00,,1.638,,,1.781,,1.299,,,,,,,,,,,,,,0.486,,,,0.447,
2015-10-01 09:00:00+00:00,,1.901,,,1.287,,1.231,,,,,,,,,,,,,,0.53,,,,0.447,
2015-10-01 10:00:00+00:00,,2.424,,,1.17,,1.697,,,,,,,,,,,,,,0.612,,,,0.447,
2015-10-01 11:00:00+00:00,,2.604,,,1.3,,2.325,,,,,,,,,,,,,,0.512,,,,0.463,
2015-10-01 12:00:00+00:00,,2.355,,,1.43,,2.032,,,,,,,,,,,,,,0.571,,,,0.454,
2015-10-01 13:00:00+00:00,,2.64,,,1.365,,1.338,,,,,,,,,,,,,,1.002,,,,0.451,
2015-10-01 14:00:00+00:00,,2.389,,,1.126,,1.165,,,,,,,,,,,,,,1.767,,,,0.482,
2015-10-01 15:00:00+00:00,,2.402,,,0.834,,1.549,,,,,,,,,,,,,,1.716,,,,0.573,
2015-10-01 16:00:00+00:00,,3.173,,,0.672,,1.983,,,,,,,,,,,,,,1.535,,,,0.69,
2015-10-01 17:00:00+00:00,,3.966,,,0.68,,2.444,,,,,,,3.448,,,,,,,1.16,,,,0.795,
2015-10-01 18:00:00+00:00,,3.956,,,0.875,,2.516,,,,,,,3.012,,,,,,,1.033,,,,0.852,
2015-10-01 19:00:00+00:00,,3.331,,,1.098,,2.257,,,,,,,2.557,,,,,,,1.065,,,,0.826,
2015-10-01 20:00:00+00:00,,3.314,,,1.076,,2.057,,,,,,,2.333,,,,,,,1.783,,,,0.776,
2015-10-01 21:00:00+00:00,,2.933,,,0.871,,2.266,,,,,,,2.591,,,,,,,2.472,,,,0.908,
